,dist,dx,dy,goal,player,team,x,y
3305,25.8843350311,24.78,7.48,False,Darijo Srna,Shakhtar Donetsk,80.22,22.168
3314,8.56594565708,8.505,-1.02,False,Stephan Lichtsteiner,Juventus,96.495,36.176
3324,3.11191259517,2.94,-1.02,False,Stephan Lichtsteiner,Juventus,102.06,37.332
3329,37.8535354227,-23.1,29.988,False,Branislav Ivanović,Chelsea,23.1,10.336
3333,14.7297185649,-8.295,12.172,False,Eden Hazard,Chelsea,8.295,23.936
3336,14.9982879356,12.495,-8.296,False,Claudio Marchisio,Juventus,92.505,44.608
3341,18.2873228221,14.28,11.424,False,Fabio Quagliarella,Juventus,90.72,22.576
3344,22.8005794882,11.445,-19.72,False,Fabio Quagliarella,Juventus,93.555,52.088
3353,23.9500099374,23.1,6.324,False,Mirko Vučinić,Juventus,81.9,24.82
3354,20.03941319,16.695,11.084,False,Andrea Pirlo,Juventus,88.305,22.1
3356,24.1117558257,-22.785,7.888,False,Ramires,Chelsea,22.785,31.688
3364,15.1964346147,13.755,6.46,True,Fabio Quagliarella,Juventus,91.245,30.532
3369,16.1017666422,-15.645,-3.808,False,Juan Mata,Chelsea,15.645,39.236
3376,14.3127361465,5.04,-13.396,False,Stephan Lichtsteiner,Juventus,99.96,52.904
3382,22.1027686953,-11.34,18.972,False,Oscar,Chelsea,11.34,19.788
3401,22.7175787442,-20.16,-10.472,False,Ramires,Chelsea,20.16,38.692
3405,20.0209132909,-3.045,19.788,False,Mirko Vučinić,Juventus,3.045,17.612
3407,27.1928874708,-18.795,19.652,False,Arturo Vidal,Juventus,18.795,16.184
3414,8.44129853755,7.665,-3.536,False,César Azpilicueta,Chelsea,97.335,43.112
3418,12.7939549788,-7.35,10.472,False,Fabio Quagliarella,Juventus,7.35,25.704
3420,29.2588511224,-25.305,14.688,False,Andrea Pirlo,Juventus,25.305,23.868
3424,11.5676272416,-0.42,11.56,False,Fabio Quagliarella,Juventus,0.42,23.596
3426,7.06763899757,-6.825,-1.836,False,Leonardo Bonucci,Juventus,6.825,33.524
3431,24.4916446161,-21.84,11.084,False,Mirko Vučinić,Juventus,21.84,25.092
3434,17.4767343631,-17.01,-4.012,True,Arturo Vidal,Juventus,17.01,36.856
3437,26.0289958316,-13.86,-22.032,False,Kwadwo Asamoah,Juventus,13.86,50.932
3440,30.4666608771,-30.345,-2.72,False,Mirko Vučinić,Juventus,30.345,31.552
3450,9.18394038526,-7.245,5.644,False,Mirko Vučinić,Juventus,7.245,30.736
3451,25.2840784883,24.255,7.14,False,David Luiz,Chelsea,80.745,27.608
3458,31.7375704174,-31.5,-3.876,False,Andrea Pirlo,Juventus,31.5,33.116
3461,26.1424356937,-26.04,-2.312,False,Sebastian Giovinco,Juventus,26.04,40.188
3464,28.9702071101,-28.77,3.4,True,Sebastian Giovinco,Juventus,28.77,27.404
3465,10.7764612002,8.19,7.004,False,Ideye Brown,Dynamo Kyiv,96.81,22.576
3467,7.48036389489,-4.83,5.712,False,Fatos Beqiraj,Dinamo Zagreb,4.83,31.008
3470,26.5159843302,-26.145,4.42,False,Sammir,Dinamo Zagreb,26.145,29.988
3475,18.3568830688,-17.85,4.284,False,Sammir,Dinamo Zagreb,17.85,33.32
3478,17.5487435448,-14.28,10.2,False,Fatos Beqiraj,Dinamo Zagreb,14.28,26.656
3480,8.68938024257,4.305,7.548,False,Ideye Brown,Dynamo Kyiv,100.695,26.724
3483,26.3407520014,-22.68,13.396,False,Marcelo Brozović,Dinamo Zagreb,22.68,22.576
3486,20.4579076154,19.74,-5.372,True,Andriy Yarmolenko,Dynamo Kyiv,85.26,41.004
